matchid,season,Date,Time,HomeTeam,AwayTeam,league,FTHG,FTAG,FTgoals,HTHG,HTAG,htgoals,HS,AS,HST,AST,totalshotontarget,HF,AF,HC,AC,total corner,HY,AY,HR,AR,round,home_team_rank,away_team_rank,homeform,awayform,home_team_rolling_avg_goals_conceded,away_team_rolling_avg_goals_conceded,home_team_rolling_avg_goals,away_team_rolling_avg_goals,home_rankclass,away_rankclass,homeform_class,awayform_class,hometeamplayingstyle,awayteamplayingstyle,hometeamrating,awayteamrating,homeratingclass,awayratingclass,versusplayingstyle,versusteamrating,versustableclass,versusformclass,fifatopteamlocation,Month,goalcycle,home_goal_class,away_conceded_class,home_goal_away_conceded_class,overtwo,,odds,stake,capital,return,actual return ,market movement
Match-1868,2024/2025,11/5/2025,15:15,Barcelona,Real Madrid,La Liga,4,3,7,4,2,6,23,9,9,5,14,17,15,10,2,12,4,3,0,0,35,1,2,2.323529412,2.205882353,1,1,2.17,1.67,topfour,topfour,top,top,possessionplay,directplay,85,85,top,top,possessionplayVdirectplay,topVtop,topfourVtopfour,midVtop,tough,,,Low,High,LowVHigh,0,loss,0,200,10000,0,-200,-4336
Match-1869,2024/2025,11/5/2025,17:30,Ath Bilbao,Alaves,La Liga,1,0,1,0,0,0,11,4,3,1,4,17,12,9,2,11,1,1,0,0,35,4,17,1.794117647,1.029411765,0.33,0.67,0.67,0.5,topfour,bottom,mid,mid,highpressing,Defensive,73,72,low,low,highpressingVDefensive,lowVlow,eurospotVbottom,midVlow,tough,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4222
Match-1870,2024/2025,11/5/2025,20:00,Betis,Osasuna,La Liga,1,1,2,0,0,0,10,16,5,5,10,8,12,6,7,13,3,2,0,0,35,6,9,1.676470588,1.294117647,1.17,1.33,2.33,1.5,eurospot,midtable,mid,mid,possessionplay,compactplay,85,75,top,mid,possessionplayVcompactplay,topVmid,eurospotVmidtable,midVmid,Home,,,Low,Mid,LowVMid,1,win,1.57,200,10000,314,114,-4108
Match-1871,2024/2025,13/05/2025,18:00,Valladolid,Girona,La Liga,0,1,1,0,0,0,11,13,4,5,9,5,19,6,4,10,0,0,0,0,36,20,16,0.457142857,1.085714286,3.33,1.33,1.17,0.67,bottom,bottom,low,mid,compactplay,directplay,74,72,mid,low,compactplayVdirectplay,midVlow,bottomVmidtable,midVmid,Home,,,High,Mid,HighVMid,1,win,1.57,200,10000,314,114,-3994
Match-1872,2024/2025,13/05/2025,19:00,Sociedad,Celta,La Liga,0,1,1,0,1,1,15,6,5,2,7,18,11,14,1,15,3,1,0,0,36,12,7,1.228571429,1.4,1.67,2,0.83,2.17,midtable,eurospot,mid,mid,compactplay,possessionplay,79,73,top,low,compactplayVpossessionplay,topVlow,eurospotVmidtable,midVmid,Home,,,High,Low,HighVLow,1,win,1.57,200,10000,314,114,-3880
Match-1873,2024/2025,13/05/2025,20:30,Sevilla,Las Palmas,La Liga,1,0,1,0,0,0,10,14,3,3,6,22,15,4,2,6,6,6,0,0,36,15,19,1.085714286,0.914285714,1.67,1.5,1,1.17,bottom,bottom,mid,low,compactplay,possessionplay,79,71,top,low,compactplayVpossessionplay,topVlow,topfourVbottom,midVmid,Home,,,High,Mid,HighVMid,1,win,1.57,200,10000,314,114,-3766
Match-1874,2024/2025,14/05/2025,18:00,Alaves,Valencia,La Liga,1,0,1,0,0,0,11,10,5,3,8,16,10,9,4,13,4,3,0,0,36,17,11,1,1.285714286,0.5,0.83,0.5,1.83,bottom,midtable,low,mid,Defensive,compactplay,72,74,low,mid,DefensiveVcompactplay,lowVmid,bottomVmidtable,lowVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-3652
Match-1875,2024/2025,14/05/2025,18:00,Villarreal,Leganes,La Liga,3,0,3,3,0,3,17,23,7,6,13,5,11,3,6,9,1,1,0,0,36,5,18,1.742857143,0.971428571,1.33,1.17,1.67,1.17,eurospot,bottom,mid,low,possessionplay,Defensive,80,71,top,low,possessionplayVDefensive,topVlow,eurospotVbottom,midVlow,Home,,,Mid,High,MidVHigh,0,loss,0,200,10000,0,-200,-3852
Match-1876,2024/2025,14/05/2025,20:30,Real Madrid,Mallorca,La Liga,2,1,3,0,1,1,39,4,13,2,15,6,15,26,0,26,0,3,0,0,36,2,9,2.142857143,1.342857143,1.33,0.83,1.67,0.83,topfour,midtable,top,mid,directplay,compactplay,85,73,top,low,directplayVcompactplay,topVlow,topfourVbottom,topVlow,Home,,,Mid,High,MidVHigh,0,loss,0,200,10000,0,-200,-4052
Match-1877,2024/2025,15/05/2025,18:00,Vallecano,Betis,La Liga,2,2,4,2,0,2,20,10,6,3,9,8,18,10,7,17,1,3,0,0,36,8,6,1.342857143,1.657142857,1.83,1.17,0.67,2.17,eurospot,eurospot,mid,mid,highpressing,possessionplay,74,85,mid,top,highpressingVpossessionplay,midVtop,midtableVeurospot,midVmid,Away,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4252
Match-1878,2024/2025,15/05/2025,18:00,Osasuna,Ath Madrid,La Liga,2,0,2,1,0,1,9,9,3,5,8,12,11,3,5,8,1,1,0,0,36,10,3,1.285714286,2,1.5,0.67,1.67,2.17,midtable,topfour,mid,mid,compactplay,compactplay,75,73,mid,low,compactplayVcompactplay,midVlow,midtableVtopfour,midVmid,Home,,,Mid,High,MidVHigh,1,win,1.57,200,10000,314,114,-4138
Match-1879,2024/2025,15/05/2025,20:30,Espanol,Barcelona,La Liga,0,2,2,0,0,0,9,12,1,4,5,8,10,3,3,6,2,2,1,0,36,14,1,1.114285714,2.342857143,1.17,1.33,1.17,2.17,midtable,topfour,mid,top,directplay,possessionplay,73,85,low,top,directplayVpossessionplay,lowVtop,midtableVtopfour,midVmid,Away,,,High,Mid,HighVMid,1,win,1.57,200,10000,314,114,-4024
Match-1880,2024/2025,15/05/2025,20:30,Getafe,Ath Bilbao,La Liga,0,2,2,0,0,0,11,9,1,2,3,10,7,2,5,7,1,0,0,0,36,13,4,1.114285714,1.828571429,1.5,0.33,0.83,0.83,midtable,topfour,mid,mid,compactplay,highpressing,75,73,mid,low,compactplayVhighpressing,midVlow,midtableVeurospot,midVmid,Home,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-3910
Match-1881,2024/2025,18/05/2025,18:00,Ath Madrid,Betis,La Liga,4,1,5,2,0,2,20,12,11,7,18,12,9,7,4,11,1,1,0,0,37,3,6,1.944444444,1.638888889,0.83,1.33,1.83,2.33,topfour,eurospot,mid,mid,compactplay,possessionplay,73,85,low,top,compactplayVpossessionplay,lowVtop,topfourVeurospot,midVmid,Away,,,Low,Mid,LowVMid,0,loss,0,200,10000,0,-200,-4110
Match-1882,2024/2025,18/05/2025,18:00,Barcelona,Villarreal,La Liga,2,3,5,2,1,3,24,7,9,3,12,14,9,11,3,14,2,0,0,0,37,1,5,2.361111111,1.777777778,1.17,1.17,2.33,1.83,topfour,eurospot,top,mid,possessionplay,possessionplay,85,80,top,top,possessionplayVpossessionplay,topVtop,topfourVeurospot,midVmid,tough,,,Low,High,LowVHigh,0,loss,0,200,10000,0,-200,-4310
Match-1883,2024/2025,18/05/2025,18:00,Celta,Vallecano,La Liga,1,2,3,1,2,3,24,7,7,2,9,10,17,9,2,11,2,3,0,0,37,7,8,1.444444444,1.333333333,1.83,1.5,2,1,eurospot,eurospot,mid,mid,possessionplay,highpressing,73,74,low,mid,possessionplayVhighpressing,lowVmid,midtableVmidtable,midVmid,Away,,,Low,Mid,LowVMid,0,loss,0,200,10000,0,-200,-4510
Match-1884,2024/2025,18/05/2025,18:00,Las Palmas,Leganes,La Liga,0,1,1,0,1,1,12,11,3,4,7,15,12,9,2,11,2,2,0,0,37,19,18,0.888888889,0.944444444,1.17,1.5,1,1,bottom,bottom,low,low,possessionplay,Defensive,71,71,low,low,possessionplayVDefensive,lowVlow,bottomVbottom,midVlow,tough,,,High,Mid,HighVMid,1,win,1.57,200,10000,314,114,-4396
Match-1885,2024/2025,18/05/2025,18:00,Mallorca,Getafe,La Liga,1,2,3,0,0,0,7,10,1,4,5,14,9,3,4,7,2,2,0,0,37,10,15,1.305555556,1.083333333,0.83,1.83,0.83,0.17,midtable,bottom,mid,mid,compactplay,compactplay,73,75,low,mid,compactplayVcompactplay,lowVmid,bottomVmidtable,lowVmid,Away,,,High,Low,HighVLow,0,loss,0,200,10000,0,-200,-4596
Match-1886,2024/2025,18/05/2025,18:00,Osasuna,Espanol,La Liga,2,0,2,1,0,1,16,16,3,6,9,11,5,8,6,14,1,1,0,0,37,9,16,1.333333333,1.083333333,1.33,1.5,1.83,0.83,midtable,bottom,mid,mid,compactplay,directplay,75,73,mid,low,compactplayVdirectplay,midVlow,midtableVmidtable,midVmid,Home,,,Low,Mid,LowVMid,1,win,1.57,200,10000,314,114,-4482
Match-1887,2024/2025,18/05/2025,18:00,Sevilla,Real Madrid,La Liga,0,2,2,0,0,0,6,16,1,6,7,7,9,1,7,8,0,1,2,0,37,13,2,1.138888889,2.166666667,1.33,1.17,1,1.83,midtable,topfour,mid,top,compactplay,directplay,79,85,top,top,compactplayVdirectplay,topVtop,topfourVtopfour,midVtop,tough,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4368
Match-1888,2024/2025,18/05/2025,18:00,Sociedad,Girona,La Liga,3,2,5,2,1,3,15,9,9,5,14,10,9,9,2,11,1,3,0,0,37,12,14,1.194444444,1.138888889,1.67,1.17,0.33,0.83,midtable,midtable,mid,mid,compactplay,directplay,79,72,top,low,compactplayVdirectplay,topVlow,eurospotVmidtable,midVmid,Home,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4568
Match-1889,2024/2025,18/05/2025,18:00,Valencia,Ath Bilbao,La Liga,0,1,1,0,0,0,6,10,2,4,6,10,16,5,3,8,3,1,0,0,37,11,4,1.25,1.861111111,0.83,0.33,1.5,1.17,midtable,topfour,mid,mid,compactplay,highpressing,74,73,mid,low,compactplayVhighpressing,midVlow,midtableVeurospot,midVmid,Home,,,Mid,High,MidVHigh,1,win,1.57,200,10000,314,114,-4454
Match-1890,2024/2025,18/05/2025,18:00,Valladolid,Alaves,La Liga,0,1,1,0,1,1,7,14,1,4,5,12,24,5,9,14,0,2,0,0,37,20,17,0.444444444,1.055555556,2.83,0.5,1.17,0.5,bottom,bottom,low,mid,compactplay,Defensive,74,72,mid,low,compactplayVDefensive,midVlow,bottomVbottom,midVlow,Home,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4340
Match-1891,2024/2025,23/05/2025,20:00,Betis,Valencia,La Liga,1,1,2,1,0,1,14,9,4,2,6,8,12,3,2,5,1,2,0,0,38,6,12,1.594594595,1.216216216,1.67,1,2.33,1.33,eurospot,midtable,mid,mid,possessionplay,compactplay,85,74,top,mid,possessionplayVcompactplay,topVmid,eurospotVmidtable,midVmid,Home,,,Low,High,LowVHigh,1,win,1.57,200,10000,314,114,-4226
Match-1892,2024/2025,24/05/2025,15:15,Real Madrid,Sociedad,La Liga,2,0,2,1,0,1,16,9,8,1,9,5,7,11,4,15,0,0,0,0,38,2,11,2.189189189,1.243243243,1.17,1.67,2,0.83,topfour,midtable,top,mid,directplay,compactplay,85,79,top,top,directplayVcompactplay,topVtop,topfourVeurospot,topVmid,tough,,,Low,Mid,LowVMid,1,win,1.57,200,10000,314,114,-4112
Match-1893,2024/2025,24/05/2025,17:30,Espanol,Las Palmas,La Liga,2,0,2,0,0,0,8,10,3,4,7,12,11,3,6,9,3,2,0,0,38,17,19,1.054054054,0.864864865,1.83,1.17,0.67,0.5,bottom,bottom,mid,low,directplay,possessionplay,73,71,low,low,directplayVpossessionplay,lowVlow,midtableVbottom,midVmid,tough,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-3998
Match-1894,2024/2025,24/05/2025,17:30,Leganes,Valladolid,La Liga,3,0,3,3,0,3,16,6,6,2,8,11,16,3,4,7,0,1,0,0,38,18,20,1,0.432432432,1.33,2.33,1.17,0.83,bottom,bottom,low,low,Defensive,compactplay,71,74,low,mid,DefensiveVcompactplay,lowVmid,bottomVbottom,lowVmid,Away,,,High,Low,HighVLow,0,loss,0,200,10000,0,-200,-4198
Match-1895,2024/2025,24/05/2025,20:00,Alaves,Osasuna,La Liga,1,1,2,0,0,0,14,19,5,5,10,15,6,5,9,14,2,2,0,0,38,14,8,1.108108108,1.378378378,0.33,1.17,0.67,1.83,midtable,eurospot,mid,mid,Defensive,compactplay,72,75,low,mid,DefensiveVcompactplay,lowVmid,bottomVmidtable,lowVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4084
Match-1896,2024/2025,24/05/2025,20:00,Getafe,Celta,La Liga,1,2,3,1,1,2,6,15,1,8,9,13,10,2,6,8,3,4,1,0,38,13,7,1.135135135,1.405405405,1.5,1.83,0.33,2.17,midtable,eurospot,mid,mid,compactplay,possessionplay,75,73,mid,low,compactplayVpossessionplay,midVlow,midtableVmidtable,midVmid,Home,,,High,Low,HighVLow,0,loss,0,200,10000,0,-200,-4284
Match-1897,2024/2025,24/05/2025,20:00,Vallecano,Mallorca,La Liga,0,0,0,0,0,0,27,9,8,2,10,9,14,11,2,13,2,2,0,0,38,9,10,1.378378378,1.27027027,1.17,1.17,1.17,0.67,midtable,midtable,mid,mid,highpressing,compactplay,74,73,mid,low,highpressingVcompactplay,midVlow,midtableVbottom,midVlow,Home,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4170
Match-1898,2024/2025,25/05/2025,13:00,Girona,Ath Madrid,La Liga,0,4,4,0,0,0,2,19,1,11,12,13,11,1,8,9,0,1,0,0,38,16,3,1.108108108,1.972972973,1.33,0.67,1,1.83,bottom,topfour,mid,mid,directplay,compactplay,72,73,low,low,directplayVcompactplay,lowVlow,midtableVtopfour,midVmid,tough,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4370
Match-1899,2024/2025,25/05/2025,15:15,Villarreal,Sevilla,La Liga,4,2,6,3,1,4,12,17,7,6,13,8,14,3,5,8,0,1,0,0,38,5,15,1.810810811,1.108108108,1.17,1.5,2,1,eurospot,bottom,mid,mid,possessionplay,compactplay,80,79,top,top,possessionplayVcompactplay,topVtop,eurospotVtopfour,midVmid,tough,,,Low,Mid,LowVMid,0,loss,0,200,10000,0,-200,-4570
Match-1900,2024/2025,25/05/2025,20:00,Ath Bilbao,Barcelona,La Liga,0,3,3,0,2,2,10,13,1,4,5,21,10,2,6,8,1,0,0,0,38,4,1,1.891891892,2.297297297,0.17,1.67,0.83,2.5,topfour,topfour,mid,top,highpressing,possessionplay,73,85,low,top,highpressingVpossessionplay,lowVtop,eurospotVtopfour,midVmid,Away,,,High,Mid,HighVMid,0,loss,0,200,10000,0,-200,-4770
Match-1901,2023/2024,11/8/2023,18:30,Almeria,Vallecano,La Liga,0,2,2,0,2,2,19,10,5,4,9,16,25,8,3,11,1,3,0,0,1,2,19,0,0,0,0,0,0,topfour,bottom,low,low,compactplay,highpressing,73,74,low,mid,compactplayVhighpressing,lowVmid,bottomVmidtable,midVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4656
Match-1902,2023/2024,11/8/2023,21:00,Sevilla,Valencia,La Liga,1,2,3,0,0,0,9,10,3,3,6,15,17,8,1,9,3,2,1,0,1,16,18,0,0,0,0,0,0,bottom,bottom,low,low,compactplay,compactplay,79,74,top,mid,compactplayVcompactplay,topVmid,topfourVmidtable,midVmid,Home,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4856
Match-1903,2023/2024,12/8/2023,16:00,Sociedad,Girona,La Liga,1,1,2,1,0,1,15,6,2,1,3,22,9,4,1,5,2,5,0,0,1,17,10,0,0,0,0,0,0,bottom,midtable,low,low,compactplay,directplay,79,72,top,low,compactplayVdirectplay,topVlow,eurospotVmidtable,midVmid,Home,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4742
Match-1904,2023/2024,12/8/2023,18:30,Las Palmas,Mallorca,La Liga,1,1,2,1,0,1,5,12,2,2,4,11,21,3,6,9,3,2,0,0,1,12,13,0,0,0,0,0,0,midtable,midtable,low,low,possessionplay,compactplay,71,73,low,low,possessionplayVcompactplay,lowVlow,bottomVbottom,midVlow,tough,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4628
Match-1905,2023/2024,12/8/2023,20:30,Ath Bilbao,Real Madrid,La Liga,0,2,2,0,2,2,7,14,1,8,9,18,6,7,5,12,3,1,0,0,1,3,15,0,0,0,0,0,0,topfour,bottom,low,low,highpressing,directplay,73,85,low,top,highpressingVdirectplay,lowVtop,eurospotVtopfour,midVtop,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4514
Match-1906,2023/2024,13/08/2023,16:00,Celta,Osasuna,La Liga,0,2,2,0,1,1,11,11,1,5,6,11,15,7,2,9,1,1,0,0,1,8,14,0,0,0,0,0,0,eurospot,midtable,low,low,possessionplay,compactplay,73,75,low,mid,possessionplayVcompactplay,lowVmid,midtableVmidtable,midVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4400
Match-1907,2023/2024,13/08/2023,18:30,Villarreal,Betis,La Liga,1,2,3,0,1,1,18,12,5,5,10,13,17,9,4,13,1,3,0,0,1,20,6,0,0,0,0,0,0,bottom,eurospot,low,low,possessionplay,possessionplay,80,85,top,top,possessionplayVpossessionplay,topVtop,eurospotVeurospot,midVmid,tough,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4600
Match-1908,2023/2024,13/08/2023,20:30,Getafe,Barcelona,La Liga,0,0,0,0,0,0,5,14,2,4,6,20,11,3,4,7,8,2,1,1,1,9,5,0,0,0,0,0,0,midtable,eurospot,low,low,compactplay,possessionplay,75,85,mid,top,compactplayVpossessionplay,midVtop,midtableVtopfour,midVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4486
Match-1909,2023/2024,14/08/2023,18:30,Cadiz,Alaves,La Liga,1,0,1,1,0,1,12,10,3,2,5,19,15,2,4,6,3,2,1,0,1,7,1,0,0,0,0,0,0,eurospot,topfour,low,low,compactplay,Defensive,71,72,low,low,compactplayVDefensive,lowVlow,bottomVbottom,lowVlow,tough,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4372
Match-1910,2023/2024,14/08/2023,20:30,Ath Madrid,Granada,La Liga,3,1,4,1,0,1,14,7,6,4,10,15,9,3,3,6,3,1,0,0,1,4,11,0,0,0,0,0,0,topfour,midtable,low,low,compactplay,possessionplay,73,71,low,low,compactplayVpossessionplay,lowVlow,topfourVbottom,midVlow,tough,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4572
Match-1911,2023/2024,18/08/2023,18:30,Mallorca,Villarreal,La Liga,0,1,1,0,0,0,8,15,1,3,4,12,11,6,5,11,2,4,0,0,2,10,15,1,0,1,2,1,1,midtable,bottom,low,low,compactplay,possessionplay,73,80,low,top,compactplayVpossessionplay,lowVtop,bottomVeurospot,lowVmid,Away,,,High,Low,HighVLow,1,win,1.57,200,10000,314,114,-4458
Match-1912,2023/2024,18/08/2023,20:30,Valencia,Las Palmas,La Liga,1,0,1,0,0,0,9,7,4,1,5,12,6,6,4,10,0,0,0,0,2,6,9,3,1,1,1,2,1,eurospot,midtable,top,low,compactplay,possessionplay,74,71,mid,low,compactplayVpossessionplay,midVlow,midtableVbottom,midVmid,Home,,,Low,High,LowVHigh,1,win,1.57,200,10000,314,114,-4344
Match-1913,2023/2024,19/08/2023,16:00,Sociedad,Celta,La Liga,1,1,2,1,0,1,11,17,2,6,8,12,12,9,7,16,2,1,0,0,2,11,20,1,0,1,2,1,0,midtable,bottom,low,low,compactplay,possessionplay,79,73,top,low,compactplayVpossessionplay,topVlow,eurospotVmidtable,midVmid,Home,,,High,Low,HighVLow,1,win,1.57,200,10000,314,114,-4230
Match-1914,2023/2024,19/08/2023,18:30,Almeria,Real Madrid,La Liga,1,3,4,1,1,2,20,24,8,9,17,10,13,4,5,9,1,0,0,0,2,18,3,0,3,2,0,0,2,bottom,topfour,low,top,compactplay,directplay,73,85,low,top,compactplayVdirectplay,lowVtop,bottomVtopfour,midVtop,Away,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4430
Match-1915,2023/2024,19/08/2023,20:30,Osasuna,Ath Bilbao,La Liga,0,2,2,0,2,2,18,8,7,2,9,9,14,5,3,8,1,5,1,1,2,2,19,3,0,0,2,2,0,topfour,bottom,top,low,compactplay,highpressing,75,73,mid,low,compactplayVhighpressing,midVlow,midtableVeurospot,midVmid,Home,,,Low,Low,LowVLow,1,win,1.57,200,10000,314,114,-4316
Match-1916,2023/2024,20/08/2023,18:00,Girona,Getafe,La Liga,3,0,3,1,0,1,7,9,6,2,8,11,20,3,2,5,2,5,0,0,2,8,13,1,1,1,0,1,0,eurospot,midtable,low,low,directplay,compactplay,72,75,low,mid,directplayVcompactplay,lowVmid,midtableVmidtable,midVmid,Away,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4516
Match-1917,2023/2024,20/08/2023,18:30,Barcelona,Cadiz,La Liga,2,0,2,0,0,0,23,10,10,1,11,9,22,10,2,12,4,3,0,0,2,12,7,1,3,0,0,0,1,midtable,eurospot,low,top,possessionplay,compactplay,85,71,top,low,possessionplayVcompactplay,topVlow,topfourVbottom,midVlow,Home,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4402
Match-1918,2023/2024,20/08/2023,20:30,Betis,Ath Madrid,La Liga,0,0,0,0,0,0,14,5,0,1,1,10,8,2,7,9,2,1,0,0,2,5,1,3,3,1,1,2,3,eurospot,topfour,top,top,possessionplay,compactplay,85,73,top,low,possessionplayVcompactplay,topVlow,eurospotVtopfour,midVmid,Home,,,Low,High,LowVHigh,1,win,1.57,200,10000,314,114,-4288
Match-1919,2023/2024,21/08/2023,18:00,Alaves,Sevilla,La Liga,4,3,7,2,2,4,14,12,7,2,9,14,13,4,4,8,1,2,0,0,2,16,14,0,0,1,2,0,1,bottom,midtable,low,low,Defensive,compactplay,72,79,low,top,DefensiveVcompactplay,lowVtop,bottomVtopfour,lowVmid,Away,,,High,Low,HighVLow,0,loss,0,200,10000,0,-200,-4488
Match-1920,2023/2024,21/08/2023,20:30,Granada,Vallecano,La Liga,0,2,2,0,0,0,14,17,7,9,16,14,11,5,6,11,2,1,1,0,2,17,4,0,3,3,0,1,2,bottom,topfour,low,top,possessionplay,highpressing,71,74,low,mid,possessionplayVhighpressing,lowVmid,bottomVmidtable,lowVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4374
Match-1921,2023/2024,25/08/2023,18:30,Las Palmas,Sociedad,La Liga,0,0,0,0,0,0,11,8,5,1,6,7,29,5,7,12,1,4,0,0,3,14,13,0.5,1,1,1,0.5,1,midtable,midtable,low,low,possessionplay,compactplay,71,79,low,top,possessionplayVcompactplay,lowVtop,bottomVeurospot,midVmid,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4260
Match-1922,2023/2024,25/08/2023,20:30,Celta,Real Madrid,La Liga,0,1,1,0,0,0,13,10,4,3,7,19,14,3,5,8,2,3,0,0,3,16,1,0.5,3,1.5,0.5,0.5,2.5,bottom,topfour,low,top,possessionplay,directplay,73,85,low,top,possessionplayVdirectplay,lowVtop,midtableVtopfour,midVtop,Away,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,-4146
Match-1923,2023/2024,26/08/2023,18:00,Cadiz,Almeria,La Liga,1,1,2,0,0,0,11,5,3,2,5,16,22,7,3,10,0,5,1,1,3,12,19,1.5,0,1,2.5,0.5,0.5,midtable,bottom,mid,low,compactplay,compactplay,71,73,low,low,compactplayVcompactplay,lowVlow,bottomVbottom,lowVmid,tough,,,High,Low,HighVLow,1,win,1.57,200,10000,314,114,-4032
Match-1924,2023/2024,26/08/2023,18:30,Granada,Mallorca,La Liga,3,2,5,1,1,2,10,10,4,5,9,11,27,5,3,8,2,7,0,0,3,20,15,0,0.5,2.5,1,0.5,0.5,bottom,bottom,low,low,possessionplay,compactplay,71,73,low,low,possessionplayVcompactplay,lowVlow,bottomVbottom,lowVlow,tough,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4232
Match-1925,2023/2024,26/08/2023,20:30,Sevilla,Girona,La Liga,1,2,3,1,1,2,21,8,4,3,7,11,18,6,6,12,2,1,0,0,3,18,4,0,2,3,0.5,2,2,bottom,topfour,low,mid,compactplay,directplay,79,72,top,low,compactplayVdirectplay,topVlow,topfourVmidtable,midVmid,Home,,,Low,High,LowVHigh,0,loss,0,200,10000,0,-200,-4432
Match-1926,2023/2024,27/08/2023,16:30,Villarreal,Barcelona,La Liga,3,4,7,2,2,4,13,21,6,11,17,12,14,2,6,8,3,3,0,0,3,11,6,1.5,2,1,0,1,1,midtable,eurospot,mid,mid,possessionplay,possessionplay,80,85,top,top,possessionplayVpossessionplay,topVtop,eurospotVtopfour,midVmid,tough,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-4632
Match-1927,2023/2024,27/08/2023,18:30,Valencia,Osasuna,La Liga,1,2,3,0,1,1,16,7,4,2,6,13,12,6,3,9,3,4,0,0,3,3,10,3,1.5,0.5,1,1.5,1,topfour,midtable,top,mid,compactplay,compactplay,74,75,mid,mid,compactplayVcompactplay,midVmid,midtableVmidtable,midVmid,tough,,,Mid,High,MidVHigh,0,loss,0,200,10000,0,-200,-4832
Match-1928,2023/2024,27/08/2023,20:30,Ath Bilbao,Betis,La Liga,4,2,6,3,2,5,14,7,6,3,9,23,11,5,3,8,4,2,0,0,3,9,7,1.5,2,1,0.5,1,1,midtable,eurospot,mid,mid,highpressing,possessionplay,73,85,low,top,highpressingVpossessionplay,lowVtop,eurospotVeurospot,midVmid,Away,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,-5032
Match-1929,2023/2024,28/08/2023,18:30,Getafe,Alaves,La Liga,1,0,1,0,0,0,15,16,4,2,6,13,15,4,5,9,1,2,0,0,3,17,8,0.5,1.5,1.5,2,0,2,bottom,eurospot,low,mid,compactplay,Defensive,75,72,mid,low,compactplayVDefensive,midVlow,midtableVbottom,midVlow,Home,,,High,Low,HighVLow,1,win,1.57,200,10000,314,114,-4918
Match-1930,2023/2024,28/08/2023,20:30,Vallecano,Ath Madrid,La Liga,0,7,7,0,3,3,12,17,3,10,13,19,17,8,3,11,4,3,0,0,3,2,5,3,2,0,0.5,2,1.5,topfour,eurospot,top,mid,highpressing,compactplay,74,73,mid,low,highpressingVcompactplay,midVlow,midtableVtopfour,midVmid,Home,,,Low,High,LowVHigh,0,loss,0,200,10000,0,-200,-5118
Match-1931,2023/2024,1/9/2023,18:30,Cadiz,Villarreal,La Liga,3,1,4,2,1,3,18,7,4,3,7,21,15,7,3,10,5,4,0,1,4,10,13,1.333333333,1,1,2,0.67,1.67,midtable,midtable,mid,low,compactplay,possessionplay,71,80,low,top,compactplayVpossessionplay,lowVtop,bottomVeurospot,lowVmid,Away,,,High,Low,HighVLow,0,loss,0,200,10000,0,-200,-5318
Match-1932,2023/2024,1/9/2023,21:00,Almeria,Celta,La Liga,2,3,5,0,2,2,16,14,5,8,13,9,9,6,5,11,1,1,0,0,4,19,18,0.333333333,0.333333333,2,1.33,0.67,0.33,bottom,bottom,low,low,compactplay,possessionplay,73,73,low,low,compactplayVpossessionplay,lowVlow,bottomVmidtable,midVmid,tough,,,High,Mid,HighVMid,0,loss,0,200,10000,0,-200,-5518
