matchid,season,Date,Time,HomeTeam,AwayTeam,league,FTHG,FTAG,FTgoals,HTHG,HTAG,htgoals,HS,AS,HST,AST,totalshotontarget,HF,AF,HC,AC,total corner,HY,AY,HR,AR,round,home_team_rank,away_team_rank,homeform,awayform,home_team_rolling_avg_goals_conceded,away_team_rolling_avg_goals_conceded,home_team_rolling_avg_goals,away_team_rolling_avg_goals,home_rankclass,away_rankclass,homeform_class,awayform_class,hometeamplayingstyle,awayteamplayingstyle,hometeamrating,awayteamrating,homeratingclass,awayratingclass,versusplayingstyle,versusteamrating,versustableclass,versusformclass,fifatopteamlocation,Month,goalcycle,home_goal_class,away_conceded_class,home_goal_away_conceded_class,overtwo,,odds,stake,capital,return,actual return ,market movement
Match-15,2024/2025,25/08/2024,17:30,Fiorentina,Venezia,Serie A,0,0,0,0,0,0,12,7,8,4,12,13,19,7,3,10,1,2,0,0,2,10,17,1,0,1,3,1,1,midtable,bottom,low,low,possessionplay,possessionplay,77,69,mid,low,possessionplayVpossessionplay,midVlow,eurospotVeurospot,midVmid,Home,,,High,Low,HighVLow,1,win,1.57,200,10000,314,114,9198
Match-16,2024/2025,25/08/2024,17:30,Torino,Atalanta,Serie A,2,1,3,1,1,2,13,24,6,8,14,8,13,4,6,10,3,4,0,0,2,8,1,1,3,2,0,2,4,eurospot,topfour,low,top,compactplay,highpressing,75,81,mid,top,compactplayVhighpressing,midVtop,midtableVeurospot,midVmid,Away,,,Low,High,LowVHigh,0,loss,0,200,10000,0,-200,8998
Match-17,2024/2025,25/08/2024,19:45,Napoli,Bologna,Serie A,3,0,3,1,0,1,16,9,5,2,7,11,17,7,5,12,2,2,0,0,2,19,9,0,1,3,1,0,1,bottom,midtable,low,low,highpressing,directplay,82,75,top,mid,highpressingVdirectplay,topVmid,topfourVmidtable,topVmid,Home,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,8798
Match-18,2024/2025,25/08/2024,19:45,Roma,Empoli,Serie A,1,2,3,0,1,1,17,10,6,3,9,10,9,8,5,13,0,3,0,0,2,16,14,1,1,0,0,0,0,bottom,midtable,low,low,possessionplay,possessionplay,81,72,top,low,possessionplayVpossessionplay,topVlow,eurospotVmidtable,midVmid,Home,,,High,High,HighVHigh,0,loss,0,200,10000,0,-200,8598
Match-19,2024/2025,26/08/2024,17:30,Cagliari,Como,Serie A,1,1,2,1,0,1,11,13,5,4,9,12,10,5,6,11,2,2,0,0,2,13,18,1,0,0,3,0,0,midtable,bottom,low,low,compactplay,Defensive,73,68,low,low,compactplayVDefensive,lowVlow,eurospotVmidtable,midVmid,tough,,,High,Low,HighVLow,1,win,1.57,200,10000,314,114,8712
Match-20,2024/2025,26/08/2024,19:45,Verona,Juventus,Serie A,0,3,3,0,2,2,7,7,1,5,6,8,8,4,1,5,2,0,0,0,2,3,2,3,3,0,0,3,3,topfour,topfour,top,top,highpressing,directplay,73,83,low,top,highpressingVdirectplay,lowVtop,midtableVtopfour,midVmid,Away,,,Low,High,LowVHigh,0,loss,0,200,10000,0,-200,8512
Match-21,2024/2025,30/08/2024,17:30,Venezia,Torino,Serie A,0,1,1,0,0,0,13,12,4,6,10,7,15,3,3,6,2,4,0,0,3,17,3,0.5,2,1.5,1.5,0.5,2,bottom,topfour,low,mid,possessionplay,compactplay,69,75,low,mid,possessionplayVcompactplay,lowVmid,eurospotVmidtable,midVmid,Away,,,High,Mid,HighVMid,1,win,1.57,200,10000,314,114,8626
Match-22,2024/2025,30/08/2024,19:45,Inter,Atalanta,Serie A,4,0,4,2,0,2,13,11,5,1,6,6,15,3,4,7,0,2,0,0,3,2,8,2,1.5,1,1,2,2.5,topfour,eurospot,mid,mid,compactplay,highpressing,84,81,top,top,compactplayVhighpressing,topVtop,topfourVeurospot,topVmid,tough,,,Low,High,LowVHigh,0,loss,0,200,10000,0,-200,8426
Match-23,2024/2025,31/08/2024,17:30,Bologna,Empoli,Serie A,1,1,2,1,1,2,14,4,3,2,5,15,18,6,3,9,0,3,0,0,3,18,7,0.5,2,2,0.5,0.5,1,bottom,eurospot,low,mid,directplay,possessionplay,75,72,mid,low,directplayVpossessionplay,midVlow,midtableVmidtable,midVmid,Home,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,8540
Match-24,2024/2025,31/08/2024,17:30,Lecce,Cagliari,Serie A,1,0,1,1,0,1,17,21,4,2,6,10,13,7,10,17,1,3,1,0,3,20,12,0,1,3,0.5,0,0.5,bottom,midtable,low,low,Defensive,compactplay,70,73,low,low,DefensiveVcompactplay,lowVlow,topfourVeurospot,midVmid,tough,,,High,High,HighVHigh,1,win,1.57,200,10000,314,114,8654
Match-25,2024/2025,31/08/2024,19:45,Lazio,Milan,Serie A,2,2,4,0,1,1,7,10,5,4,9,12,9,5,7,12,4,2,0,0,3,9,14,1.5,0.5,1.5,2,2,1.5,midtable,midtable,mid,low,directplay,highpressing,80,83,top,top,directplayVhighpressing,topVtop,eurospotVtopfour,midVtop,tough,,,Low,Low,LowVLow,0,loss,0,200,10000,0,-200,8454
Match-26,2024/2025,31/08/2024,19:45,Napoli,Parma,Serie A,2,1,3,0,1,1,29,13,7,2,9,12,6,6,4,10,2,4,0,1,3,10,5,1.5,2,1.5,1,1.5,1.5,midtable,eurospot,mid,mid,highpressing,Defensive,82,72,top,low,highpressingVDefensive,topVlow,topfourVmidtable,topVmid,Home,,,Mid,High,MidVHigh,0,loss,0,200,10000,0,-200,8254
